perturbation,text_id,крупный,мелкий,средний
add_typos,coling::1d5a005f-1162-4f21-a546-b8229951a6c2,-9.63,4.56,-0.97
add_typos,coling::1eb3e11f-345c-4e21-9971-65b1c025ebf0,-18.0,21.43,-3.96
add_typos,coling::1eb5e451-a672-4645-8dea-c413ad11c953,-0.62,-9.7,1.82
add_typos,coling::203e204e-a867-4d1d-97e8-bdd789e6fc2b,13.13,1.7,9.61
add_typos,coling::22aa3208-6e8c-4005-9386-819f202c1c74,-1.91,44.3,13.96
add_typos,coling::23d0bd02-f2a0-4752-971c-cac75280ef8f,4.92,6.23,9.12
add_typos,coling::28a6b262-a893-4fcb-a538-fc9aa5adc135,-3.39,-4.5,-2.78
add_typos,coling::2b392f9b-db4c-468a-bf65-fc00202e096d,8.62,9.82,6.45
add_typos,coling::2e921a31-8ffa-4c78-8c4d-ef7e72432bc8,-0.08,-1.98,2.68
add_typos,coling::31049c2c-a6a8-44a9-acaa-b8e3b1237658,14.2,-6.73,7.27
add_typos,coling::32e519e5-5c7c-4bcb-a0ea-bfeb2b47c9d8,20.04,22.71,17.48
add_typos,coling::33c5609d-3402-4e52-abb9-f74944f2418e,-10.43,5.95,1.34
add_typos,coling::365ba259-c2eb-480e-84d9-eab251a43b47,-4.16,16.77,-6.83
add_typos,coling::37e384a6-d2b8-444e-ac7f-d4288c173442,0.72,4.41,2.93
add_typos,coling::3acbf3b4-cdc2-42b4-9b2c-839dd8bb95f5,-1.72,3.02,3.35
add_typos,coling::3bec38ad-9c98-4004-95a3-5b24858e7401,-10.84,3.21,-3.73
add_typos,coling::3dd39352-d471-4ab9-bd50-b7345fc1d97c,-7.15,-2.02,-0.28
add_typos,coling::4622a5f2-c96d-4ea1-9629-b734e9768fd2,-1.75,2.91,11.05
add_typos,coling::46555368-c6ff-46dc-88fc-bf38c422299b,-11.33,11.4,0.56
add_typos,coling::4979d6d3-5de1-40a4-9a75-cfd7fc6085a9,-14.4,19.23,-3.55
add_typos,coling::49a2d576-81e8-4b16-889d-beb4a986f322,5.7,21.62,10.89
add_typos,coling::4b504a77-e4f6-447f-996a-b39d54b5c54c,-10.59,5.28,-0.36
add_typos,coling::4e7728dc-010d-47cb-95f2-16525a713ce3,0.57,6.24,8.16
add_typos,coling::5293d27b-2991-4ca1-93ab-e336d0ebeefc,8.45,5.31,13.27
