mode,q,d_hat,d_se,slope,intercept,r2,resid_rmse,resid_max,slope_se,n_points,n_min,n_max,arm,genre,text,L_used,seed
q_small,0.6,34.303067660924945,2.4127144773260305,0.9708480882851445,2.571856202026553,0.9999732380910562,0.0026573767149061563,0.004227966303507635,0.002050406690486228,8,20,100,fixed_L_small,xsum,xsum_1,100,2
q_small,0.8,48.573535760285935,14.00612416532939,0.979412657852723,1.8847018421266435,0.9997796255808583,0.0076936362891411045,0.015750099225732228,0.005936336851653208,8,20,100,fixed_L_small,xsum,xsum_1,100,2
q_large,0.0,13.820711593785887,1.6212836342164165,0.9276448254336178,3.5260496748850203,0.9994979279143419,0.011000471622525326,0.0234055982942456,0.00848785965753687,8,20,100,fixed_L_small,xsum,xsum_1,100,2
q_large,0.2,11.54232578062484,0.9612309003062274,0.9133623483684182,3.305947298673716,0.999625730357744,0.009350916571832143,0.018394434453117725,0.007215078612495579,8,20,100,fixed_L_small,xsum,xsum_1,100,2
q_large,0.4,9.027206454618776,1.2458338733204712,0.8892237587533683,3.061556628306911,0.9982296205619443,0.019813741823790726,0.03051665404624071,0.015288095425530208,8,20,100,fixed_L_small,xsum,xsum_1,100,2
q_large,0.6,6.677987688823596,0.9044233772477331,0.8502542911731301,2.724018229616576,0.996597996956927,0.02628413360530825,0.05369567052519386,0.020280588407225936,8,20,100,fixed_L_small,xsum,xsum_1,100,2
q_large,0.8,3.777144822850952,0.4978778338096293,0.7352497595670134,2.279830933943474,0.9866635091912361,0.04522813008594757,0.08273862260507592,0.03489759656815661,8,20,100,fixed_L_small,xsum,xsum_1,100,2
q0.5_range,0.0,8.131494103518031,0.9707100252023497,0.8770213705784577,2.8968841795140694,0.9983215864216405,0.019026632375706107,0.04523787360692477,0.01468076923446188,8,20,100,fixed_L_small,xsum,xsum_1,100,2
q0.5_range,0.2,17.439938078832093,1.198578176396157,0.9426603468728045,2.7944487596511958,0.9998951548817365,0.005107279240091227,0.00800584976877694,0.0039407282623210175,8,20,100,fixed_L_small,xsum,xsum_1,100,2
q0.5_range,0.4,28.603166757157982,4.307090268456847,0.9650388361369201,2.7693454001637066,0.9998214764127256,0.006822897589619203,0.01167479898075463,0.005264483122691775,8,20,100,fixed_L_small,xsum,xsum_1,100,2
q_small,0.0,9.70599381132752,0.7103238449434778,0.8969708801140038,3.6483937472210486,0.9995761977913921,0.009789307196881666,0.019520834892922778,0.007540087290510409,8,45,228,fixed_L_mean,xsum,xsum_1,228,2
q_small,0.2,12.462685384872087,0.6084068669386515,0.9197604714298688,3.4166886265317173,0.9998911831386088,0.005085649524141924,0.008782154007642262,0.003917155787407288,8,45,228,fixed_L_mean,xsum,xsum_1,228,2
q_small,0.4,17.54549150602824,0.7645587194671697,0.9430053014099706,3.0662542823442513,0.9999583836062357,0.0032244478086111156,0.005509894819204497,0.0024835892317658062,8,45,228,fixed_L_mean,xsum,xsum_1,228,2
q_small,0.6,21.325800882200195,1.3606878996185305,0.9531084433581737,2.6469856921660186,0.9999408797058753,0.0038843951792817445,0.006107730724134619,0.002991905160760707,8,45,228,fixed_L_mean,xsum,xsum_1,228,2
q_small,0.8,22.970606068987745,1.8769129029019629,0.9564661029405713,1.9821473904464495,0.9999170198017202,0.004618221890016038,0.010446475634122265,0.003557125696163585,8,45,228,fixed_L_mean,xsum,xsum_1,228,2
q_large,0.0,9.70599381132752,0.7103238449434778,0.8969708801140038,3.6483937472210486,0.9995761977913921,0.009789307196881666,0.019520834892922778,0.007540087290510409,8,45,228,fixed_L_mean,xsum,xsum_1,228,2
