mode,q,mean_d,cv_within,cv_between,rel_resid,rel_dse,variant
q_small,0.9,16.90868523636952,0.17403412708910634,0.24164028742010435,0.00304749644208909,0.08057591955139402,no_replace
q0.5_range,0.0,4.546135237384569,0.06363028294305224,0.14045088740347328,0.01260803383719268,0.07212918859652732,pool_full
q0.5_range,0.3,10.341539058417917,0.04654196134099583,0.1534170785738034,0.006509588439076691,0.09620752372873241,pool_full
q0.5_range,0.5,15.136056067799707,0.06144536556004063,0.12657521541409888,0.002445679319850481,0.05696058248703819,pool_full
q_large,0.0,7.876554874448508,0.05294253990190725,0.1188354328969562,0.005036081947319071,0.056674065436283526,pool_full
q_large,0.3,6.019439003801745,0.05879972090923136,0.1284177318876162,0.007958093290369042,0.06508409198597939,pool_full
q_large,0.5,4.546135237384569,0.06363028294305224,0.14045088740347328,0.01260803383719268,0.07212918859652732,pool_full
q_large,0.6,3.8151804756285674,0.06781466327106207,0.141718650089473,0.016118755583420696,0.07297573553864424,pool_full
q_large,0.9,3.382290882699577,0.1777919627140085,0.18622417291376545,0.038334421445985714,0.1392930233298137,pool_full
q_small,0.0,7.876554874448508,0.05294253990190725,0.1188354328969562,0.005036081947319071,0.056674065436283526,pool_full
q_small,0.3,11.654043001148125,0.047434613529945345,0.14062601702295735,0.004804902791072277,0.08222189021713407,pool_full
q_small,0.5,15.136056067799707,0.06144536556004063,0.12657521541409888,0.002445679319850481,0.05696058248703819,pool_full
q_small,0.6,15.761321326387149,0.06776546896290418,0.13545949605833615,0.0022793577691492,0.05558454263011532,pool_full
q_small,0.9,16.391844724224402,0.12181409423775655,0.21173523195000976,0.0030844978845309744,0.07822112436781521,pool_full
q0.5_range,0.0,5.070591924569272,0.0808197646756264,0.13842398782230156,0.006964106288173977,0.0452609295285968,rep32
q0.5_range,0.3,12.577921593661603,0.09568733289520899,0.16316171199463797,0.003910472454172233,0.06972104845864917,rep32
q0.5_range,0.5,18.922866486191605,0.07382421639449371,0.15227913712921093,0.0013169336734245888,0.03826765967917847,rep32
q_large,0.0,9.05179398598661,0.06542969407051562,0.12160633219614456,0.002814594302468513,0.036646685575810606,rep32
q_large,0.3,6.794791231078482,0.07223550516385345,0.1283098894769848,0.004395427309492963,0.04101267807509086,rep32
