набор,текст,условие,полн: каркас ребро,полн: каркас CV,полн: ячейки ребро,q*
механические,13,хапаксы одного домена,0.7058458947486907,0.11455033199101217,0.4243891662459016,0.35833333333333334
механические,13,20 чужих хапаксов,0.7223118301563461,0.09592626423912577,0.4280203917551446,0.3483333333333334
механические,13,маркер каждые 3,0.7498667116112282,0.08534062920575906,0.40317571997036605,0.47000000000000003
механические,13,без пунктуации,0.7561330340271586,0.07641427365647654,0.4900206451589828,0.3233333333333333
механические,13,без служебных,0.7109977924273291,0.09722046371676846,0.40372891570669583,0.29833333333333334
механические,14,исходный,0.7603075616921449,0.09801713741457156,0.41110366310227353,0.3416666666666666
механические,14,перемешивание,0.7305710252190085,0.09022638996261485,0.45418725627889217,0.3416666666666666
механические,14,эхо x2,0.7666935272546769,0.08562301281412228,0.3786766993400221,0.45166666666666666
механические,14,эхо x4,0.7902367438562488,0.10114305225931948,0.25977174386852275,0.5966666666666666
механические,14,эхо на четверти,0.7566154392978897,0.0978914888711095,0.39558758305336544,0.4033333333333333
механические,14,словарь к 25,0.7591262648672203,0.13966338462858274,0.447564366251825,0.6649999999999999
механические,14,словарь к 60,0.7537133289997495,0.10427689135378888,0.4442285447829968,0.575
механические,14,все слова разные,0.7191467391274164,0.114104877629166,0.4234142886888419,0.26166666666666666
механические,14,чужие хапаксы,0.7201332667242625,0.12034115667241914,0.4156890720070498,0.34500000000000003
механические,14,хапаксы одного домена,0.718038449011407,0.12783473411147292,0.42117873731855454,0.35333333333333333
механические,14,20 чужих хапаксов,0.7485746328165627,0.10283491135648466,0.41495679152149667,0.36999999999999994
механические,14,маркер каждые 3,0.7695701646325753,0.08753458553440692,0.4154890854571114,0.465
механические,14,без пунктуации,0.7719958120458988,0.09187026726855008,0.4734007452239724,0.3383333333333334
механические,14,без служебных,0.7357027076152153,0.10261222232947459,0.4250380600463621,0.3233333333333333
механические,15,исходный,0.7484580646070637,0.09744062136914534,0.41938276102741856,0.30666666666666664
механические,15,перемешивание,0.7549404282117272,0.09572151730094929,0.4819135441609561,0.3116666666666667
механические,15,эхо x2,0.7538853731136733,0.09270071166138964,0.3408173449890019,0.415
